response,labels
Data transformation consolidated or aggregate your data columns. It may impact your machine learning model performance,5
0 to 1 is the range for this normalization technique,11
"In Regression analysis, we need to convert all the categorical columns into binary variables. Such variables are known as dummy variables",11
Heteroscedasticity is a situation where the variability of a variable is unequal across the range of values of a second variable that predicts it,11
Multicollinearity is a high correlation among two or more predictor variables in a multiple regression model,11
Degrees of freedom are the number of independent values that a statistical analysis can estimate.,8
T Distribution or Student's T Distribution is employed when the Population Standard Deviation is unknonw and the sample size is less than 30,8
It is the way of testing results of an experiment whether they are valid and meaningful and have not occured just by chance,10
The ROC curve is a graphical representation of the contrast between true positive rates and the false positive rate at various thresholds,10
Null Hypothesis is nothing but a statement which is usually true,10
naive Bayes is so naive because it assumes that all of the features in a data set are equally important and independent,10
Prior probability is the proportion of dependent variable in the data set,10
Covariance is a measure to know how to variables change together,10
A classification trees makes decision based on Gini Index and Node Entropy,10
"KNN makes no assumptions about the underlying data unlike other algorithms, eg. Linear Regression",2
There is no or minimal training phase because of which training phase is pretty fast. Here the training data is used during the testing phase,2
"K value can be selected using sqrt(no. of obs/2), kselection package, scree plot, k fold cross validation",2
knn() can be used from the class package,2
Probability is given by Number of interested events divided by Total number of events,13
 It is the probability of two events occuring at the same time. Classical example is probability of an email being spam with the word lottery in it. Here the events are email being spam and email having the word lottery,13
"Bayesâ€™ Theorem finds the probability of an event occurring given the probability of another event that has already occurred. Mathematically it is given as P(A|B) = [P(B|A)P(A)]/P(B) where A & B are events. P(A|B) called as Posterior Probability, is the probability of event A(response) given that B(independent) has already occured. P(B|A) is the likelihood of the training data i.e., probability of event B(indpendent) given that A(response) has already occured. P(A) is the probability of the response variable and P(B) is the probability of the training data or evidence",3
The fundamental assumption is that each indepedent variable independently and equally contributes to the outcome,3
"Decision Tree is a superised machine learning algorithm used for classification and regression analysis. It is a tree-like structure in which internal node represents test on an attribute, each branch represents outcome of test and each leafe node represents class label",1
A path from root node to leaf node represents classification rules,1
"We have Root Node, Internal Node, Leaf Node in a decision tree. Decision Tree starts at the Root Node, this is the first node of the decision tree. Dta set is split based on Root Node, again nodes are selected to further split the already splitted data. This process of splitting the data goes on till we get leaf nodes, which are nothing but the classification labels. The process of selecting Root Nodes and Internal Nodes is done using the statistical measures called Gain",1
We say a data set is pure or homogenous if all of it's class labels is the same and impure or hetergenous if the class labels are different. Entropy or Gini Index or Classification Error can be used to measure impurity of the data set,1
 The process of removal of sub nodes which contribute less power to the decision tree model is called as Pruning,1
"Pruning reduces the complexity of the model which in turn reduces overfitting problem of Decision Tree. There are two strategies in Pruning. Propruning - discard unreliable parts from the fully grown tree, Prepruning  stop growing a branch when the information becomes unreliable. Postpruning is the preferred one",1
Entropy is a probabilistic measure of uncertainity or impurity whereas Information Gain is the reduction of this uncertainity measure,1
"Gain for any column is calculated by differencing Information Gain of a dataset with respect to a variable from the Information Gain of the entire dataset i.e., Gain(Age) = Info(D) - Info(D wrt Age)",1
C50 and tree packages can be used to implement a decision tree algorithm in R,1
